"","line","yield","location","set"
"128","MN11139",201.1752,"rse","2017"
"129","MN11211",230.1443,"rse","2017"
"130","MNBT1020-1",224.4616,"rse","2017"
"131","MNBT1021-1",181.7168,"rse","2017"
"132","MNBT1021-2",168.2929,"rse","2017"
"133","NATTY",185.0512,"rse","2017"
"134","NEWBURG",202.8732,"rse","2017"
"135","REINS",181.5813,"rse","2017"
"136","ROCKFORD",204.3736,"rse","2017"
"137","RON",199.9285,"rse","2017"
"138","SABER",196.8806,"rse","2017"
"139","SD120296",200.0839,"rse","2017"
"140","SHELBY_427",182.0734,"rse","2017"
"141","SOURIS",193.1302,"rse","2017"
"142","STREAKER",140.4277,"rse","2017"
"143","SUMO",148.8023,"rse","2017"
"144","mean",192.857196296296,"rse","2017"
"145","lsd0.1",29.77572,"rse","2017"
"146","ANTIGO",109.8672,"fef","2017"
"147","BADGER",120.8243,"fef","2017"
"148","BETAGENE",115.938,"fef","2017"
"149","COLT",132.5218,"fef","2017"
"150","CS_CAMDEN",155.9167,"fef","2017"
"151","DEON",133.3579,"fef","2017"
"152","ESKER",139.6291,"fef","2017"
"153","GOLIATH",149.9942,"fef","2017"
"154","HAYDEN",154.5841,"fef","2017"
"155","HORSEPOWER",154.436,"fef","2017"
"156","JURY",147.6248,"fef","2017"
"157","MN11139",144.6634,"fef","2017"
"158","MN11211",144.9596,"fef","2017"
"159","MNBT1020-1",129.5604,"fef","2017"
"160","MNBT1021-1",140.6656,"fef","2017"
"161","MNBT1021-2",142.1463,"fef","2017"
"162","NATTY",134.5947,"fef","2017"
"163","NEWBURG",156.857,"fef","2017"
"164","REINS",101.1529,"fef","2017"
"165","ROCKFORD",158.7449,"fef","2017"
"166","RON",152.2149,"fef","2017"
"167","SABER",106.6097,"fef","2017"
"168","SD120296",146.1441,"fef","2017"
"169","SHELBY_427",134.2986,"fef","2017"
"170","SOURIS",161.0991,"fef","2017"
"171","STREAKER",37.1656,"fef","2017"
"172","SUMO",107.6462,"fef","2017"
"173","mean",133.822855555556,"fef","2017"
"174","lsd0.1",19.65936,"fef","2017"
"175","ANTIGO",165.245,"ste","2017"
"176","BADGER",177.8309,"ste","2017"
"177","BETAGENE",194.7108,"ste","2017"
"178","COLT",152.8072,"ste","2017"
"179","CS_CAMDEN",183.1104,"ste","2017"
"180","DEON",200.1893,"ste","2017"
"181","ESKER",189.8245,"ste","2017"
"182","GOLIATH",201.9661,"ste","2017"
"183","HAYDEN",215.1443,"ste","2017"
"184","HORSEPOWER",195.4511,"ste","2017"
"185","JURY",188.8286,"ste","2017"
"186","MN11139",196.4876,"ste","2017"
"187","MN11211",195.7472,"ste","2017"
"188","MNBT1020-1",176.3908,"ste","2017"
"189","MNBT1021-1",200.6335,"ste","2017"
"190","MNBT1021-2",179.4596,"ste","2017"
"191","NATTY",185.3188,"ste","2017"
"192","NEWBURG",197.2279,"ste","2017"
"193","REINS",159.7665,"ste","2017"
"194","ROCKFORD",188.788,"ste","2017"
"195","RON",203.766,"ste","2017"
"196","SABER",190.4168,"ste","2017"
"197","SD120296",182.8652,"ste","2017"
"198","SHELBY_427",165.245,"ste","2017"
"199","SOURIS",195.7472,"ste","2017"
"200","STREAKER",148.5606,"ste","2017"
"201","SUMO",129.5604,"ste","2017"
"202","mean",183.744048148148,"ste","2017"
"203","lsd0.1",14.0303,"ste","2017"
"204","ANTIGO",116.1736,"lec","2017"
