"","line","yield","location","set"
"599","MN11139",89.8278,"was","2017_2015"
"600","MN11211",99.8804,"was","2017_2015"
"601","MNBT1020-1",101.7054,"was","2017_2015"
"602","MNBT1021-1",96.3914,"was","2017_2015"
"603","NATTY",86.9002,"was","2017_2015"
"604","NEWBURG",59.6307,"was","2017_2015"
"605","ROCKFORD",49.9345,"was","2017_2015"
"606","RON",87.5806,"was","2017_2015"
"607","SABER",87.7039,"was","2017_2015"
"608","SHELBY_427",70.3992,"was","2017_2015"
"609","SOURIS",60.2119,"was","2017_2015"
"610","mean",79.09653,"was","2017_2015"
"611","lsd0.1",12.3427,"was","2017_2015"
"612","BADGER",171.4456,"crk","2016_2015"
"613","BETAGENE",195.2713,"crk","2016_2015"
"614","COLT",162.4352,"crk","2016_2015"
"615","DEON",178.3794,"crk","2016_2015"
"616","ESKER",186.2802,"crk","2016_2015"
"617","GOLIATH",186.8153,"crk","2016_2015"
"618","HAYDEN",221.6015,"crk","2016_2015"
"619","HORSEPOWER",193.5638,"crk","2016_2015"
"620","JURY",196.5061,"crk","2016_2015"
"621","MN11139",188.552,"crk","2016_2015"
"622","MN11140",190.4215,"crk","2016_2015"
"623","MN11211",182.8268,"crk","2016_2015"
"624","MN11231",177.2048,"crk","2016_2015"
"625","MNBT1020-1",208.835,"crk","2016_2015"
"626","MNBT1021-1",193.151,"crk","2016_2015"
"627","NATTY",187.2865,"crk","2016_2015"
"628","NEWBURG",198.0145,"crk","2016_2015"
"629","ROCKFORD",180.3649,"crk","2016_2015"
"630","RON",187.4048,"crk","2016_2015"
"631","SABER",200.4759,"crk","2016_2015"
"632","SHELBY_427",181.6838,"crk","2016_2015"
"633","SOURIS",193.5103,"crk","2016_2015"
"634","mean",189.183190909091,"crk","2016_2015"
"635","lsd0.1",17.74573,"crk","2016_2015"
"636","BADGER",116.5572,"lam","2016_2015"
"637","BETAGENE",169.0767,"lam","2016_2015"
"638","COLT",109.0735,"lam","2016_2015"
"639","DEON",185.8075,"lam","2016_2015"
"640","ESKER",152.8336,"lam","2016_2015"
"641","GOLIATH",136.5875,"lam","2016_2015"
"642","HAYDEN",143.3038,"lam","2016_2015"
"643","HORSEPOWER",109.493,"lam","2016_2015"
"644","JURY",147.0965,"lam","2016_2015"
"645","MN11139",173.5614,"lam","2016_2015"
"646","MN11140",157.0864,"lam","2016_2015"
"647","MN11211",188.3372,"lam","2016_2015"
"648","MN11231",189.2579,"lam","2016_2015"
"649","MNBT1020-1",185.7008,"lam","2016_2015"
"650","MNBT1021-1",176.8769,"lam","2016_2015"
"651","NATTY",153.8319,"lam","2016_2015"
"652","NEWBURG",141.5078,"lam","2016_2015"
"653","ROCKFORD",112.8686,"lam","2016_2015"
"654","RON",173.9878,"lam","2016_2015"
"655","SABER",146.9814,"lam","2016_2015"
"656","SHELBY_427",127.5337,"lam","2016_2015"
"657","SOURIS",105.045,"lam","2016_2015"
"658","mean",150.109368181818,"lam","2016_2015"
"659","lsd0.1",21.412,"lam","2016_2015"
"660","BADGER",125.0139,"ste","2016_2015"
"661","BETAGENE",131.6359,"ste","2016_2015"
"662","COLT",98.3154,"ste","2016_2015"
"663","DEON",155.0464,"ste","2016_2015"
"664","ESKER",127.8523,"ste","2016_2015"
"665","GOLIATH",134.3903,"ste","2016_2015"
"666","HAYDEN",124.5025,"ste","2016_2015"
"667","HORSEPOWER",133.5002,"ste","2016_2015"
"668","JURY",133.5963,"ste","2016_2015"
"669","MN11139",132.2794,"ste","2016_2015"
"670","MN11140",137.2437,"ste","2016_2015"
"671","MN11211",157.925,"ste","2016_2015"
"672","MN11231",138.3705,"ste","2016_2015"
"673","MNBT1020-1",141.0911,"ste","2016_2015"
"674","MNBT1021-1",150.6842,"ste","2016_2015"
"675","NATTY",139.5477,"ste","2016_2015"
"676","NEWBURG",130.5773,"ste","2016_2015"
"677","ROCKFORD",116.9083,"ste","2016_2015"
"678","RON",126.6264,"ste","2016_2015"
"679","SABER",125.5073,"ste","2016_2015"
"680","SHELBY_427",126.6348,"ste","2016_2015"
"681","SOURIS",130.3788,"ste","2016_2015"
"682","mean",132.619440909091,"ste","2016_2015"
"683","lsd0.1",15.25661,"ste","2016_2015"
"684","BADGER",83.9314,"was","2016_2015"
"685","BETAGENE",88.2502,"was","2016_2015"
"686","COLT",68.4151,"was","2016_2015"
"687","DEON",93.0106,"was","2016_2015"
"688","ESKER",107.4868,"was","2016_2015"
"689","GOLIATH",74.2547,"was","2016_2015"
"690","HAYDEN",75.0007,"was","2016_2015"
"691","HORSEPOWER",70.2489,"was","2016_2015"
"692","JURY",75.8798,"was","2016_2015"
"693","MN11139",83.3389,"was","2016_2015"
"694","MN11140",94.6537,"was","2016_2015"
"695","MN11211",111.2059,"was","2016_2015"
"696","MN11231",88.42,"was","2016_2015"
"697","MNBT1020-1",118.0433,"was","2016_2015"
"698","MNBT1021-1",97.1163,"was","2016_2015"
"699","NATTY",93.9997,"was","2016_2015"
"700","NEWBURG",70.8802,"was","2016_2015"
"701","ROCKFORD",52.0818,"was","2016_2015"
"702","RON",89.2127,"was","2016_2015"
"703","SABER",97.3357,"was","2016_2015"
"704","SHELBY_427",85.0407,"was","2016_2015"
"705","SOURIS",57.0906,"was","2016_2015"
"706","mean",85.2226227272727,"was","2016_2015"
"707","lsd0.1",11.36629,"was","2016_2015"
"708","BADGER",150.6982,"crk","2017_2016_2015"
"709","BETAGENE",170.639,"crk","2017_2016_2015"
"710","COLT",142.246,"crk","2017_2016_2015"
"711","DEON",156.5989,"crk","2017_2016_2015"
"712","ESKER",162.1996,"crk","2017_2016_2015"
"713","GOLIATH",159.1107,"crk","2017_2016_2015"
"714","HAYDEN",188.4703,"crk","2017_2016_2015"
"715","HORSEPOWER",166.7775,"crk","2017_2016_2015"
"716","JURY",169.2453,"crk","2017_2016_2015"
"717","MN11139",162.3248,"crk","2017_2016_2015"
"718","MN11211",160.0085,"crk","2017_2016_2015"
"719","MNBT1020-1",177.6808,"crk","2017_2016_2015"
"720","MNBT1021-1",164.3905,"crk","2017_2016_2015"
"721","NATTY",164.2598,"crk","2017_2016_2015"
"722","NEWBURG",168.5776,"crk","2017_2016_2015"
"723","ROCKFORD",154.7549,"crk","2017_2016_2015"
"724","RON",164.0053,"crk","2017_2016_2015"
"725","SABER",168.6068,"crk","2017_2016_2015"
"726","SHELBY_427",158.4129,"crk","2017_2016_2015"
"727","SOURIS",166.1861,"crk","2017_2016_2015"
"728","mean",163.759675,"crk","2017_2016_2015"
"729","lsd0.1",12.55085,"crk","2017_2016_2015"
"730","BADGER",122.5076,"lam","2017_2016_2015"
"731","BETAGENE",165.7866,"lam","2017_2016_2015"
"732","COLT",113.8896,"lam","2017_2016_2015"
"733","DEON",186.5135,"lam","2017_2016_2015"
"734","ESKER",154.0368,"lam","2017_2016_2015"
"735","GOLIATH",141.0191,"lam","2017_2016_2015"
"736","HAYDEN",150.3021,"lam","2017_2016_2015"
"737","HORSEPOWER",119.1828,"lam","2017_2016_2015"
"738","JURY",146.8377,"lam","2017_2016_2015"
"739","MN11139",171.436,"lam","2017_2016_2015"
"740","MN11211",176.3073,"lam","2017_2016_2015"
"741","MNBT1020-1",180.6731,"lam","2017_2016_2015"
"742","MNBT1021-1",175.1053,"lam","2017_2016_2015"
"743","NATTY",150.9162,"lam","2017_2016_2015"
"744","NEWBURG",142.9347,"lam","2017_2016_2015"
"745","ROCKFORD",125.0825,"lam","2017_2016_2015"
"746","RON",164.6112,"lam","2017_2016_2015"
"747","SABER",151.5682,"lam","2017_2016_2015"
"748","SHELBY_427",127.2586,"lam","2017_2016_2015"
"749","SOURIS",117.5011,"lam","2017_2016_2015"
"750","mean",149.1735,"lam","2017_2016_2015"
"751","lsd0.1",16.63837,"lam","2017_2016_2015"
"752","BADGER",142.6196,"ste","2017_2016_2015"
"753","BETAGENE",152.6608,"ste","2017_2016_2015"
"754","COLT",116.4793,"ste","2017_2016_2015"
"755","DEON",170.094,"ste","2017_2016_2015"
"756","ESKER",148.5097,"ste","2017_2016_2015"
"757","GOLIATH",156.9155,"ste","2017_2016_2015"
"758","HAYDEN",154.7165,"ste","2017_2016_2015"
"759","HORSEPOWER",154.1505,"ste","2017_2016_2015"
"760","JURY",151.7714,"ste","2017_2016_2015"
"761","MN11139",153.6821,"ste","2017_2016_2015"
"762","MN11211",170.5324,"ste","2017_2016_2015"
"763","MNBT1020-1",153.5351,"ste","2017_2016_2015"
"764","MNBT1021-1",167.334,"ste","2017_2016_2015"
"765","NATTY",153.7401,"ste","2017_2016_2015"
"766","NEWBURG",152.7942,"ste","2017_2016_2015"
"767","ROCKFORD",140.8682,"ste","2017_2016_2015"
"768","RON",152.9983,"ste","2017_2016_2015"
"769","SABER",147.4288,"ste","2017_2016_2015"
"770","SHELBY_427",138.7242,"ste","2017_2016_2015"
"771","SOURIS",152.1683,"ste","2017_2016_2015"
"772","mean",151.58615,"ste","2017_2016_2015"
"773","lsd0.1",12.1368,"ste","2017_2016_2015"
"774","BADGER",93.6809,"was","2017_2016_2015"
"775","BETAGENE",96.0686,"was","2017_2016_2015"
"776","COLT",80.6222,"was","2017_2016_2015"
"777","DEON",95.352,"was","2017_2016_2015"
"778","ESKER",111.0048,"was","2017_2016_2015"
"779","GOLIATH",89.4058,"was","2017_2016_2015"
"780","HAYDEN",85.7325,"was","2017_2016_2015"
"781","HORSEPOWER",72.2859,"was","2017_2016_2015"
"782","JURY",77.5403,"was","2017_2016_2015"
"783","MN11139",95.2952,"was","2017_2016_2015"
"784","MN11211",114.818,"was","2017_2016_2015"
"785","MNBT1020-1",117.9869,"was","2017_2016_2015"
"786","MNBT1021-1",109.8154,"was","2017_2016_2015"
"787","NATTY",102.1802,"was","2017_2016_2015"
"788","NEWBURG",74.0127,"was","2017_2016_2015"
"789","ROCKFORD",59.1741,"was","2017_2016_2015"
"790","RON",100.3782,"was","2017_2016_2015"
"791","SABER",104.5469,"was","2017_2016_2015"
"792","SHELBY_427",85.7872,"was","2017_2016_2015"
"793","SOURIS",66.4035,"was","2017_2016_2015"
"794","mean",91.604565,"was","2017_2016_2015"
"795","lsd0.1",9.84771,"was","2017_2016_2015"
"796","BADGER",126.9661,"state","2017_2016_2015"
"797","BETAGENE",146.2887,"state","2017_2016_2015"
"798","COLT",113.5976,"state","2017_2016_2015"
"799","DEON",152.1396,"state","2017_2016_2015"
"800","ESKER",143.9377,"state","2017_2016_2015"
"801","GOLIATH",136.6128,"state","2017_2016_2015"
"802","HAYDEN",145.2741,"state","2017_2016_2015"
"803","HORSEPOWER",128.0992,"state","2017_2016_2015"
"804","JURY",136.103,"state","2017_2016_2015"
"805","MN11139",145.6845,"state","2017_2016_2015"
"806","MN11211",155.4166,"state","2017_2016_2015"
"807","MNBT1020-1",157.469,"state","2017_2016_2015"
"808","MNBT1021-1",153.8362,"state","2017_2016_2015"
"809","NATTY",142.7741,"state","2017_2016_2015"
"810","NEWBURG",134.5798,"state","2017_2016_2015"
"811","ROCKFORD",119.9699,"state","2017_2016_2015"
"812","RON",145.4982,"state","2017_2016_2015"
"813","SABER",143.0093,"state","2017_2016_2015"
"814","SHELBY_427",127.5875,"state","2017_2016_2015"
"815","SOURIS",125.5647,"state","2017_2016_2015"
"816","mean",139.02043,"state","2017_2016_2015"
"817","lsd0.1",7.39969,"state","2017_2016_2015"
