line,value,variable
p250,2.097506603,log_sev_BLUE
p255,2.103159637,log_sev_BLUE
IL02-5630,2.116898161,log_sev_BLUE
p86,2.117026199,log_sev_BLUE
p98,2.118904243,log_sev_BLUE
SD081949,2.120666545,log_sev_BLUE
MN02231,2.127464927,log_sev_BLUE
OA1357-2,2.128403799,log_sev_BLUE
p152,2.128903222,log_sev_BLUE
p252,2.129436015,log_sev_BLUE
LAO-1104-028C1,2.130341517,log_sev_BLUE
MORTON,2.133409856,log_sev_BLUE
p51,2.137889477,log_sev_BLUE
p66,2.156582345,log_sev_BLUE
p40,2.168075635,log_sev_BLUE
p218,2.180816445,log_sev_BLUE
ND070388,2.183018559,log_sev_BLUE
MN04136,2.199928239,log_sev_BLUE
MN05237,2.205104851,log_sev_BLUE
p119,2.205360351,log_sev_BLUE
p184,2.216397916,log_sev_BLUE
MN07104,2.21923045,log_sev_BLUE
04P07A-BS5C,2.221170464,log_sev_BLUE
p80,2.222365518,log_sev_BLUE
MN06213,2.223822103,log_sev_BLUE
MN07204,2.225500586,log_sev_BLUE
p160,2.230302806,log_sev_BLUE
p145,2.234984848,log_sev_BLUE
SD050608,2.235457887,log_sev_BLUE
p246,2.236269623,log_sev_BLUE
p76,2.238037551,log_sev_BLUE
p1,2.245679874,log_sev_BLUE
p170,2.251876522,log_sev_BLUE
p142,2.266449939,log_sev_BLUE
p151,2.266694299,log_sev_BLUE
p85,2.268017362,log_sev_BLUE
p5,2.278868052,log_sev_BLUE
p161,2.286441057,log_sev_BLUE
p77,2.287784459,log_sev_BLUE
MN09115,2.288421224,log_sev_BLUE
OA1271-3,2.29660441,log_sev_BLUE
p125,2.299576773,log_sev_BLUE
SD081577,2.301551301,log_sev_BLUE
p9,2.304875775,log_sev_BLUE
p79,2.310688367,log_sev_BLUE
04P07B-GN1C,2.311729413,log_sev_BLUE
p7,2.314732732,log_sev_BLUE
p202,2.319828494,log_sev_BLUE
p209,2.333372071,log_sev_BLUE
p127,2.336029234,log_sev_BLUE
p183,2.340958008,log_sev_BLUE
p102,2.347439284,log_sev_BLUE
p158,2.362624573,log_sev_BLUE
p226,2.364314807,log_sev_BLUE
p208,2.368941998,log_sev_BLUE
KAME,2.375757002,log_sev_BLUE
p94,2.377903574,log_sev_BLUE
IL02-8663,2.390538333,log_sev_BLUE
p166,2.393210629,log_sev_BLUE
p93,2.40131521,log_sev_BLUE
MN06203,2.402146283,log_sev_BLUE
LAO-1012-040,2.403047081,log_sev_BLUE
WIX9897-5,2.408053163,log_sev_BLUE
SD020883,2.410873021,log_sev_BLUE
p124,2.411008788,log_sev_BLUE
P021A1-25-53,2.42808847,log_sev_BLUE
p146,2.43749072,log_sev_BLUE
p97,2.443588841,log_sev_BLUE
SD60980,2.453761838,log_sev_BLUE
p197,2.455927138,log_sev_BLUE
ND051306,2.456638428,log_sev_BLUE
p42,2.469272787,log_sev_BLUE
p171,2.503451616,log_sev_BLUE
p254,2.504152741,log_sev_BLUE
p87,2.510780133,log_sev_BLUE
p78,2.517450835,log_sev_BLUE
SD041445,2.530671277,log_sev_BLUE
p159,2.531750988,log_sev_BLUE
IL10-9867,2.533261572,log_sev_BLUE
p163,2.536414868,log_sev_BLUE
p229,2.537822225,log_sev_BLUE
p164,2.545773494,log_sev_BLUE
p55,2.555557698,log_sev_BLUE
P0528A1-1,2.569286787,log_sev_BLUE
p165,2.571824228,log_sev_BLUE
p38,2.577446729,log_sev_BLUE
p223,2.586566752,log_sev_BLUE
P021A1-66-2,2.589068866,log_sev_BLUE
MN08243,2.590403549,log_sev_BLUE
CLINTFORD,2.609480196,log_sev_BLUE
ND040250,2.609480196,log_sev_BLUE
MN10253,2.61229784,log_sev_BLUE
SD100454,2.632081395,log_sev_BLUE
MN06120,2.632755387,log_sev_BLUE
p217,2.636063044,log_sev_BLUE
WIX9562-5,2.66073498,log_sev_BLUE
p33,2.66205832,log_sev_BLUE
p240,2.662533875,log_sev_BLUE
WIX9528-1,2.663381659,log_sev_BLUE
p155,2.666328561,log_sev_BLUE
p230,2.672017354,log_sev_BLUE
p221,2.672923671,log_sev_BLUE
p154,2.687365095,log_sev_BLUE
SD100602,2.692986355,log_sev_BLUE
SD050945,2.700504531,log_sev_BLUE
SD120524,2.716279603,log_sev_BLUE
p181,2.722658475,log_sev_BLUE
LEGGETT,2.727378063,log_sev_BLUE
p53,2.727780774,log_sev_BLUE
p121,2.731632184,log_sev_BLUE
MN09119,2.733139042,log_sev_BLUE
p172,2.743568974,log_sev_BLUE
p141,2.756550704,log_sev_BLUE
SD110466,2.758601945,log_sev_BLUE
p81,2.76246132,log_sev_BLUE
MN09103,2.771795275,log_sev_BLUE
ND060182,2.778444419,log_sev_BLUE
SD031128,2.779791461,log_sev_BLUE
p194,2.808605169,log_sev_BLUE
WIX9287-2,2.809103556,log_sev_BLUE
SD120316,2.812618294,log_sev_BLUE
IA02010-2-1,2.846856358,log_sev_BLUE
P0714A1-29-2,2.853784172,log_sev_BLUE
REINS,2.862933195,log_sev_BLUE
MN07208,2.867724885,log_sev_BLUE
SD082192,2.868694585,log_sev_BLUE
p74,2.869297993,log_sev_BLUE
p130,2.869439596,log_sev_BLUE
p228,2.878954,log_sev_BLUE
MNBT1021-1,2.898859309,log_sev_BLUE
p182,2.907117695,log_sev_BLUE
p24,2.912297518,log_sev_BLUE
MN10121,2.919767407,log_sev_BLUE
OA1253-1,2.919826353,log_sev_BLUE
p248,2.924301098,log_sev_BLUE
p44,2.925675469,log_sev_BLUE
ND020965,2.931594027,log_sev_BLUE
p203,2.939346078,log_sev_BLUE
ND111357,2.942047594,log_sev_BLUE
p220,2.951167418,log_sev_BLUE
SD090240,2.958843978,log_sev_BLUE
p234,2.962437984,log_sev_BLUE
P9741A1-4-6-86,2.970574787,log_sev_BLUE
p111,2.971594796,log_sev_BLUE
SD090965,2.984345613,log_sev_BLUE
p196,2.991571402,log_sev_BLUE
p14,2.996576773,log_sev_BLUE
p201,3.00072808,log_sev_BLUE
p12,3.010787514,log_sev_BLUE
p32,3.016325839,log_sev_BLUE
MN11139,3.023709637,log_sev_BLUE
MN05157,3.034443929,log_sev_BLUE
SD030888,3.034443929,log_sev_BLUE
p198,3.036507311,log_sev_BLUE
p211,3.050026859,log_sev_BLUE
p144,3.054530836,log_sev_BLUE
SD100719,3.058630435,log_sev_BLUE
06P04A-E07B3,3.063882384,log_sev_BLUE
SD111736,3.065993091,log_sev_BLUE
p100,3.073139206,log_sev_BLUE
p233,3.094798732,log_sev_BLUE
ANDREW,3.098086964,log_sev_BLUE
MN10130,3.101807621,log_sev_BLUE
p115,3.104917006,log_sev_BLUE
OA1331-6,3.105809701,log_sev_BLUE
SD110605,3.10629281,log_sev_BLUE
p6,3.107043251,log_sev_BLUE
p149,3.112547345,log_sev_BLUE
p3,3.112721114,log_sev_BLUE
p199,3.113082115,log_sev_BLUE
SD090882,3.113124795,log_sev_BLUE
p193,3.11574841,log_sev_BLUE
SD080348,3.116841429,log_sev_BLUE
p104,3.121892947,log_sev_BLUE
p256,3.124093823,log_sev_BLUE
SD050616,3.1260472,log_sev_BLUE
SD111922,3.129862233,log_sev_BLUE
p114,3.13902743,log_sev_BLUE
SD110470,3.145951627,log_sev_BLUE
WIX8787-4,3.153062329,log_sev_BLUE
p190,3.154556741,log_sev_BLUE
p60,3.16435726,log_sev_BLUE
SD050716,3.183066282,log_sev_BLUE
SD100184,3.198083081,log_sev_BLUE
p206,3.211523821,log_sev_BLUE
p116,3.212582433,log_sev_BLUE
SD081107,3.214172475,log_sev_BLUE
p185,3.217269225,log_sev_BLUE
p210,3.223930612,log_sev_BLUE
p49,3.224894732,log_sev_BLUE
p48,3.228974259,log_sev_BLUE
p11,3.233609754,log_sev_BLUE
p37,3.234067376,log_sev_BLUE
p13,3.241331664,log_sev_BLUE
ND102000,3.241974288,log_sev_BLUE
p173,3.257554981,log_sev_BLUE
p241,3.270361175,log_sev_BLUE
p225,3.275894909,log_sev_BLUE
IL08-9201,3.279213239,log_sev_BLUE
03P26A-BV3A,3.291930944,log_sev_BLUE
ND050490,3.294570203,log_sev_BLUE
p140,3.295024607,log_sev_BLUE
WIX9414-1,3.295053901,log_sev_BLUE
01G04-CC3E,3.298118269,log_sev_BLUE
MN08138,3.299422054,log_sev_BLUE
WIX10045-9,3.301610247,log_sev_BLUE
p139,3.30724618,log_sev_BLUE
DEON,3.311111111,log_sev_BLUE
00P28-AN01B1,3.31637409,log_sev_BLUE
p75,3.325051501,log_sev_BLUE
p243,3.348788108,log_sev_BLUE
p84,3.357965379,log_sev_BLUE
p118,3.359419691,log_sev_BLUE
SD041445-93,3.36721785,log_sev_BLUE
WIX9082-1,3.369270018,log_sev_BLUE
p112,3.369866338,log_sev_BLUE
MN03114,3.374543914,log_sev_BLUE
p200,3.375015814,log_sev_BLUE
p31,3.37613651,log_sev_BLUE
MN10209,3.380855706,log_sev_BLUE
p253,3.382076047,log_sev_BLUE
WIX10088-6,3.383003001,log_sev_BLUE
SD61081,3.394840358,log_sev_BLUE
p143,3.398838874,log_sev_BLUE
p239,3.409008084,log_sev_BLUE
p249,3.410501021,log_sev_BLUE
NATTY,3.422053728,log_sev_BLUE
ND040492,3.422053728,log_sev_BLUE
SD61433,3.426161683,log_sev_BLUE
WIX8791-1,3.439084089,log_sev_BLUE
MN09105,3.442291227,log_sev_BLUE
p96,3.443235346,log_sev_BLUE
p101,3.44424546,log_sev_BLUE
p207,3.44535823,log_sev_BLUE
p117,3.445879906,log_sev_BLUE
OT2083,3.465588458,log_sev_BLUE
MN09255,3.482227677,log_sev_BLUE
p224,3.484063358,log_sev_BLUE
p113,3.484779769,log_sev_BLUE
p231,3.509378254,log_sev_BLUE
p10,3.514839889,log_sev_BLUE
SD110808,3.516342883,log_sev_BLUE
p242,3.519251594,log_sev_BLUE
MN09256,3.547452101,log_sev_BLUE
p50,3.548718881,log_sev_BLUE
p82,3.567495857,log_sev_BLUE
SD111931,3.567713982,log_sev_BLUE
p23,3.577938304,log_sev_BLUE
p2,3.580398169,log_sev_BLUE
SD110765,3.581094878,log_sev_BLUE
SD081644,3.589253932,log_sev_BLUE
p238,3.591830124,log_sev_BLUE
WPAT04P03-PY3B,3.611089764,log_sev_BLUE
SD120553,3.612434917,log_sev_BLUE
SD110640,3.612546572,log_sev_BLUE
SD111946,3.62196223,log_sev_BLUE
p128,3.622628957,log_sev_BLUE
HAYDEN,3.634117683,log_sev_BLUE
p186,3.635542512,log_sev_BLUE
SD090510,3.637241454,log_sev_BLUE
MN04242,3.637340293,log_sev_BLUE
p191,3.649693416,log_sev_BLUE
p109,3.651264305,log_sev_BLUE
p244,3.663187437,log_sev_BLUE
p205,3.66699478,log_sev_BLUE
p129,3.679176892,log_sev_BLUE
p245,3.690311561,log_sev_BLUE
p235,3.697421044,log_sev_BLUE
p107,3.739028674,log_sev_BLUE
AAC_ROSKENS,3.755387062,log_sev_BLUE
SD111939,3.758660891,log_sev_BLUE
p46,3.765014045,log_sev_BLUE
MN11221,3.771795275,log_sev_BLUE
p232,3.787302649,log_sev_BLUE
p25,3.791172492,log_sev_BLUE
ND021612,3.818437601,log_sev_BLUE
MN08160,3.835569659,log_sev_BLUE
p110,3.836151861,log_sev_BLUE
GOPHER,3.849685226,log_sev_BLUE
ND090807,3.849732948,log_sev_BLUE
SD051005,3.851285287,log_sev_BLUE
p43,3.88254686,log_sev_BLUE
SD041445-119,3.903867173,log_sev_BLUE
SD090880,3.905631712,log_sev_BLUE
SD100198,3.908640955,log_sev_BLUE
p148,3.909632577,log_sev_BLUE
SD081038,3.920975969,log_sev_BLUE
AAC_ALMONTE,3.944423098,log_sev_BLUE
P0541A1-1,3.945823174,log_sev_BLUE
MN11211,3.955503372,log_sev_BLUE
p83,3.980548434,log_sev_BLUE
p237,3.985547066,log_sev_BLUE
ND090709,4.003283626,log_sev_BLUE
p21,4.022579744,log_sev_BLUE
p88,4.03149847,log_sev_BLUE
ND090868,4.042054647,log_sev_BLUE
p59,4.051292612,log_sev_BLUE
p236,4.055273389,log_sev_BLUE
HA07-02X22-3,4.060081589,log_sev_BLUE
p58,4.099461958,log_sev_BLUE
ND060342,4.11632055,log_sev_BLUE
ND100362,4.116379496,log_sev_BLUE
IL09-6937,4.116841429,log_sev_BLUE
p103,4.122262967,log_sev_BLUE
SD100644,4.125029813,log_sev_BLUE
MN08211,4.125527209,log_sev_BLUE
HORSEPOWER,4.130976037,log_sev_BLUE
SD100015,4.196759007,log_sev_BLUE
SD120258,4.234557089,log_sev_BLUE
p108,4.243997926,log_sev_BLUE
IL06-3761,4.390597278,log_sev_BLUE
SD110304,4.397274663,log_sev_BLUE
p90,4.40386598,log_sev_BLUE
p195,4.41094027,log_sev_BLUE
p47,4.441912068,log_sev_BLUE
p54,4.452225325,log_sev_BLUE
SD090893,4.461480503,log_sev_BLUE
