line,value,variable
p256,92.44261001,height_BLUE
SD100719,92.46859066,height_BLUE
MN05119,92.48289975,height_BLUE
IL09-6937,92.63481384,height_BLUE
SD050945,92.65190496,height_BLUE
p77,92.70211738,height_BLUE
p254,92.7051808,height_BLUE
WIX9878-3,92.77577123,height_BLUE
p169,92.80598499,height_BLUE
p246,92.81084757,height_BLUE
WIX8791-1,92.84455207,height_BLUE
WIX9487-1,92.87289297,height_BLUE
p156,92.90610453,height_BLUE
p168,92.91764739,height_BLUE
p44,93.00456313,height_BLUE
p221,93.02278684,height_BLUE
WIX10088-6,93.03656808,height_BLUE
p95,93.05260425,height_BLUE
p248,93.11153111,height_BLUE
p247,93.2188809,height_BLUE
p250,93.36537266,height_BLUE
p47,93.38119959,height_BLUE
p155,93.46480665,height_BLUE
p220,93.47729799,height_BLUE
p94,93.49025128,height_BLUE
p182,93.52033895,height_BLUE
SD111946,93.59197532,height_BLUE
HORSEPOWER,93.59670701,height_BLUE
SD110304,93.59700229,height_BLUE
P075A1-7,93.64487444,height_BLUE
p151,93.65237587,height_BLUE
p60,93.70905691,height_BLUE
p231,93.73711176,height_BLUE
p61,93.75246489,height_BLUE
ND111357,93.83190496,height_BLUE
p235,93.89624673,height_BLUE
p50,93.90977509,height_BLUE
p189,93.9209471,height_BLUE
KAME,93.92771787,height_BLUE
P021A1-25,94.01910198,height_BLUE
OA1256-1,94.0673346,height_BLUE
MN09103,94.07819352,height_BLUE
p1,94.22481678,height_BLUE
ND021052,94.26671375,height_BLUE
WIX10045-9,94.35636868,height_BLUE
WIX9414-1,94.39240568,height_BLUE
p230,94.39302913,height_BLUE
SD60980,94.40804198,height_BLUE
p252,94.57094003,height_BLUE
p24,94.57564096,height_BLUE
MN06203,94.61828768,height_BLUE
SD111931,94.66171975,height_BLUE
ND090868,94.70719901,height_BLUE
p42,94.71030979,height_BLUE
p249,94.78742742,height_BLUE
p57,94.91550301,height_BLUE
p157,94.99601114,height_BLUE
p242,95.00637863,height_BLUE
p232,95.01787407,height_BLUE
ND040492,95.02289975,height_BLUE
LAO-1104-028C1,95.0607295,height_BLUE
03P26A-BV3A,95.08139564,height_BLUE
p30,95.39484348,height_BLUE
p152,95.44723453,height_BLUE
p101,95.45497012,height_BLUE
p109,95.47630719,height_BLUE
p191,95.57258495,height_BLUE
p228,95.58205107,height_BLUE
AAC_ROSKENS,95.59183972,height_BLUE
MN04120,95.61820778,height_BLUE
p127,95.69130969,height_BLUE
p206,95.74521404,height_BLUE
SD120266,95.80146445,height_BLUE
MN02231,95.83373956,height_BLUE
p78,95.83866666,height_BLUE
p40,95.90691217,height_BLUE
RON,95.9473973,height_BLUE
p87,96.01349872,height_BLUE
p43,96.04622608,height_BLUE
p29,96.05474378,height_BLUE
p45,96.0865436,height_BLUE
p167,96.1356039,height_BLUE
p96,96.20474339,height_BLUE
p41,96.22383427,height_BLUE
ND021612,96.36029642,height_BLUE
p144,96.51883632,height_BLUE
SD031128,96.53720653,height_BLUE
p188,96.55391745,height_BLUE
ND050490,96.55744483,height_BLUE
p102,96.58023052,height_BLUE
WPAT04P03-PY3B,96.60424848,height_BLUE
p79,96.61083068,height_BLUE
p159,96.68042468,height_BLUE
p134,96.70375348,height_BLUE
SD050938,96.71077816,height_BLUE
p86,96.72634752,height_BLUE
p98,96.76848691,height_BLUE
p140,96.8299652,height_BLUE
p243,96.93134318,height_BLUE
04P07B-GN1C,96.94677631,height_BLUE
p166,97.00686213,height_BLUE
p253,97.01381108,height_BLUE
p160,97.03765553,height_BLUE
p115,97.04831792,height_BLUE
p107,97.05171644,height_BLUE
MN06120,97.05904563,height_BLUE
MN07208,97.08257582,height_BLUE
MN08243,97.11982336,height_BLUE
p4,97.15723334,height_BLUE
p5,97.23247116,height_BLUE
MN07204,97.24650128,height_BLUE
ND090807,97.26739617,height_BLUE
p183,97.32893724,height_BLUE
WIX8787-4,97.42337367,height_BLUE
SD080348,97.43065193,height_BLUE
WIX9150-1,97.46010965,height_BLUE
p3,97.47428139,height_BLUE
SD041445,97.49318401,height_BLUE
p114,97.49548664,height_BLUE
p207,97.55487001,height_BLUE
WIX10055-8,97.75311888,height_BLUE
SD61433,97.75983461,height_BLUE
SD120640,97.79850639,height_BLUE
p184,97.80692598,height_BLUE
p112,97.80876731,height_BLUE
p154,97.83521686,height_BLUE
p194,97.83724711,height_BLUE
p54,97.91819893,height_BLUE
p80,97.92493748,height_BLUE
SD100015,97.94824943,height_BLUE
OA1342-2,97.9805484,height_BLUE
SD110765,97.98223158,height_BLUE
MN10130,98.11608991,height_BLUE
SD041016,98.12066794,height_BLUE
ND102000,98.1273973,height_BLUE
p22,98.1839565,height_BLUE
NATTY,98.20289975,height_BLUE
OA1271-3,98.2038732,height_BLUE
p46,98.23572305,height_BLUE
MN11221,98.24125866,height_BLUE
p185,98.26657218,height_BLUE
HAYDEN,98.49574514,height_BLUE
p170,98.51315853,height_BLUE
AAC_ALMONTE,98.57758182,height_BLUE
01G04-CC3E,98.57853476,height_BLUE
p89,98.58466049,height_BLUE
MN07104,98.60337367,height_BLUE
SD090882,98.76080806,height_BLUE
p97,98.86107498,height_BLUE
MN11110,98.92806231,height_BLUE
SD041445-119,99.03996034,height_BLUE
OT2083,99.04576865,height_BLUE
p12,99.06473516,height_BLUE
SD090240,99.11624432,height_BLUE
ND070182,99.14456813,height_BLUE
SD111922,99.2009666,height_BLUE
MN09255,99.20984145,height_BLUE
p143,99.37809976,height_BLUE
p13,99.42563616,height_BLUE
p203,99.46223093,height_BLUE
p90,99.51957203,height_BLUE
ND051312,99.52304797,height_BLUE
p111,99.57096961,height_BLUE
MN11139,99.60472343,height_BLUE
p6,99.70119541,height_BLUE
p130,99.70925346,height_BLUE
p84,99.71766493,height_BLUE
SD050608,99.76066794,height_BLUE
MN04232,99.79802101,height_BLUE
p198,99.87327472,height_BLUE
DEON,99.92444444,height_BLUE
OA1253-1,99.94638965,height_BLUE
MN10121,100.0133804,height_BLUE
p204,100.0181462,height_BLUE
SD090965,100.0256949,height_BLUE
SD120258,100.0349334,height_BLUE
SD090780,100.0726428,height_BLUE
p153,100.0963839,height_BLUE
p110,100.2223154,height_BLUE
p201,100.3161007,height_BLUE
p158,100.3379853,height_BLUE
p245,100.3698346,height_BLUE
MN08252,100.3867488,height_BLUE
SD050616,100.4241973,height_BLUE
p164,100.4671219,height_BLUE
p2,100.4726447,height_BLUE
p21,100.4869052,height_BLUE
MN11211,100.5757959,height_BLUE
p10,100.6280888,height_BLUE
p163,100.6905737,height_BLUE
p192,100.7155771,height_BLUE
MN10209,100.7351824,height_BLUE
ND101473,100.7978854,height_BLUE
MN04242,100.8779496,height_BLUE
p141,100.887789,height_BLUE
p244,100.9047068,height_BLUE
p229,100.9752083,height_BLUE
p196,100.9943857,height_BLUE
GOPHER,101.0208449,height_BLUE
p11,101.0298583,height_BLUE
p85,101.1048621,height_BLUE
SD111736,101.128042,height_BLUE
OT2074,101.2305399,height_BLUE
p88,101.2961328,height_BLUE
SD090248,101.3283864,height_BLUE
ND040250,101.3720872,height_BLUE
AAC_NICOLAS,101.5227941,height_BLUE
MN05157,101.5924113,height_BLUE
MN08160,101.6300403,height_BLUE
AC_ASSINIBOIA,101.8094232,height_BLUE
p142,101.8204794,height_BLUE
SD090510,101.8777738,height_BLUE
p165,101.8990288,height_BLUE
p186,101.9217976,height_BLUE
p83,101.9727734,height_BLUE
MN09256,102.0463361,height_BLUE
p195,102.127557,height_BLUE
p128,102.1827348,height_BLUE
p208,102.2572236,height_BLUE
p205,102.2682203,height_BLUE
MN08211,102.3155065,height_BLUE
SD081038,102.4915269,height_BLUE
MN09223,102.5273962,height_BLUE
NEWBURG,102.7709107,height_BLUE
OA1357-2,103.1423599,height_BLUE
ND060182,103.1891046,height_BLUE
p9,103.227631,height_BLUE
p139,103.3044484,height_BLUE
SD120456,103.391621,height_BLUE
MN09119,103.6642033,height_BLUE
ND080816,103.6990456,height_BLUE
MN06213,103.8516679,height_BLUE
p58,103.8632686,height_BLUE
ND051306,103.9015621,height_BLUE
p7,103.9257968,height_BLUE
p81,103.9361068,height_BLUE
p197,103.95524,height_BLUE
p161,103.9866281,height_BLUE
p202,104.0867336,height_BLUE
p129,104.1886943,height_BLUE
ND070388,104.271905,height_BLUE
MN05237,104.2985716,height_BLUE
SD120316,104.3349161,height_BLUE
MN02234,104.3590282,height_BLUE
p104,104.4813344,height_BLUE
p14,104.5845544,height_BLUE
MORTON,104.7213753,height_BLUE
p25,104.7266402,height_BLUE
SD041445-93,104.8036349,height_BLUE
p8,104.8864084,height_BLUE
SD120638,104.9264786,yield_BLUE
ND011054,105.0133927,height_BLUE
MN08260,105.0899009,height_BLUE
p187,105.2468865,height_BLUE
MN09105,105.3241973,height_BLUE
p162,105.3397083,height_BLUE
p200,105.3742849,height_BLUE
p199,105.4728591,height_BLUE
SD041451,105.690138,height_BLUE
OA1331-6,105.9495664,height_BLUE
SD120553,106.0514868,height_BLUE
p82,106.1278763,height_BLUE
ND090709,106.2380722,height_BLUE
MN05205,106.3808449,height_BLUE
06P04A-E07B3,106.4083864,height_BLUE
04P07A-BS5C,106.6941824,height_BLUE
ND030349,106.9877179,height_BLUE
SD111939,107.1476939,height_BLUE
ND060342,107.1644404,height_BLUE
MN09230,107.2454206,height_BLUE
OTEE,107.7611766,yield_BLUE
IA02168-1-1,107.7874548,yield_BLUE
00P28-AN01B1,108.030362,height_BLUE
SD111753,108.3252383,height_BLUE
MN10253,108.4339263,height_BLUE
ND100362,110.2499912,height_BLUE
SD050716,110.3992611,yield_BLUE
MN08138,110.6257123,height_BLUE
SD120129,110.8615299,yield_BLUE
p103,112.8553263,height_BLUE
ND020965,114.3882734,height_BLUE
IL06-8153,115.099051,yield_BLUE
P9741A1-4-6-86,115.4312,yield_BLUE
SD110466,116.6669046,yield_BLUE
GOPHER,117.2903094,yield_BLUE
p52,117.5545117,yield_BLUE
BADGER,117.8498761,yield_BLUE
IL05-7133,117.9659123,yield_BLUE
DON,118.514707,yield_BLUE
p123,119.7168895,yield_BLUE
SD090552,119.7610861,height_BLUE
p61,120.0002415,yield_BLUE
p212,120.0550292,yield_BLUE
SD082192,120.1705816,yield_BLUE
SD110640,120.5320021,yield_BLUE
p53,120.8152858,yield_BLUE
IL06-5465,121.888386,yield_BLUE
IL05-3337,122.144146,yield_BLUE
P075A1-3-2,122.64195,yield_BLUE
WIX9082-1,123.0116078,yield_BLUE
SD120289,123.3661623,yield_BLUE
SD050612,123.6624252,yield_BLUE
SD120069,124.2474935,yield_BLUE
p62,124.2510202,yield_BLUE
p3,124.5818442,yield_BLUE
SD051005,124.7747518,yield_BLUE
p150,124.9197711,yield_BLUE
IL09-5239,126.0702756,yield_BLUE
p51,126.2274048,yield_BLUE
p69,126.3203529,yield_BLUE
IL11-2353,126.5252506,yield_BLUE
IL02-5630,126.7549588,yield_BLUE
p132,126.9980793,yield_BLUE
SD020883,127.4277984,yield_BLUE
SD120316,127.5987526,yield_BLUE
p149,127.6140499,yield_BLUE
MN03114,127.6917769,yield_BLUE
p23,127.7256091,yield_BLUE
SD081085,128.0285657,yield_BLUE
SD110808,128.2073161,yield_BLUE
IA02023-2-1,128.2681448,yield_BLUE
SD080611,128.291176,yield_BLUE
p122,128.383531,yield_BLUE
p211,128.4110555,yield_BLUE
SD120524,128.4528359,yield_BLUE
p24,128.7693704,yield_BLUE
ND070388,128.8055467,yield_BLUE
SD091510,128.8415735,yield_BLUE
p180,129.1690079,yield_BLUE
p117,129.4365313,yield_BLUE
p216,129.8147184,yield_BLUE
p191,130.0849697,yield_BLUE
p222,130.1657697,yield_BLUE
P021A1-78-1,130.3221596,yield_BLUE
p210,130.3722923,yield_BLUE
IL02-8011,130.6276254,yield_BLUE
p95,130.7554204,yield_BLUE
SD120258,130.7690417,yield_BLUE
IL08-2010,130.7814518,yield_BLUE
P973A38-9-3-2-29,130.9102173,yield_BLUE
SD60980,130.9366927,yield_BLUE
p247,131.0214325,yield_BLUE
SD60130,131.1061723,yield_BLUE
p49,131.1694034,yield_BLUE
ANDREW,131.2429064,yield_BLUE
p124,131.4577544,yield_BLUE
p190,131.4622577,yield_BLUE
p155,131.4961448,yield_BLUE
06P04A-E07B3,131.5247276,yield_BLUE
IL07-8258,131.6726024,yield_BLUE
p60,131.7634201,yield_BLUE
KAME,131.873379,yield_BLUE
SD080788,132.0403634,yield_BLUE
p147,132.1296585,yield_BLUE
p217,132.3993589,yield_BLUE
p56,132.4315317,yield_BLUE
COLT,132.6677206,yield_BLUE
MN11110,132.9838005,yield_BLUE
p70,133.1116731,yield_BLUE
p67,133.1680448,yield_BLUE
SD090780,133.3379366,yield_BLUE
p48,133.3817367,yield_BLUE
p248,133.9152758,yield_BLUE
p68,134.0846401,yield_BLUE
p234,134.2054117,yield_BLUE
p118,134.4101664,yield_BLUE
p175,134.5026345,yield_BLUE
p57,134.5478268,yield_BLUE
SD050608,134.9303969,yield_BLUE
SD120553,135.0740043,yield_BLUE
p50,135.1877706,yield_BLUE
MN04120,135.3005127,yield_BLUE
WIX9449-1,135.3683337,yield_BLUE
p209,135.4750643,yield_BLUE
p215,135.4765978,yield_BLUE
ND040492,135.5937816,yield_BLUE
REINS,135.7084641,yield_BLUE
p72,135.9168855,yield_BLUE
WIX8791-1,135.9198646,yield_BLUE
IA02130-2-2,135.9911721,yield_BLUE
p188,136.0405791,yield_BLUE
p88,136.0544768,yield_BLUE
p126,136.0791541,yield_BLUE
P0528A1-6-1,136.1462824,yield_BLUE
p172,136.2317619,yield_BLUE
p201,136.3348746,yield_BLUE
p94,136.3494807,yield_BLUE
p156,136.4529028,yield_BLUE
SD050834,136.5892496,yield_BLUE
p176,136.6887573,yield_BLUE
p46,136.7842074,yield_BLUE
SD031128,136.7996024,yield_BLUE
SD61081,136.8938589,yield_BLUE
p55,136.9003935,yield_BLUE
p32,137.1159361,yield_BLUE
p181,137.1908599,yield_BLUE
p249,137.3482988,yield_BLUE
IL02-8663,137.5416547,yield_BLUE
IL11-5748,137.6023475,yield_BLUE
MN04136,137.6052929,yield_BLUE
p146,137.7107798,yield_BLUE
p225,137.7503592,yield_BLUE
SD61433,137.8027386,yield_BLUE
ND090807,137.9331008,yield_BLUE
p66,138.0817324,yield_BLUE
p189,138.0938397,yield_BLUE
IL08-9201,138.3410605,yield_BLUE
p219,138.3781264,yield_BLUE
p115,138.4013023,yield_BLUE
WIX9500-6,138.4096877,yield_BLUE
SD050938,138.6380178,yield_BLUE
p125,138.6654695,yield_BLUE
P021A1-78-1-5,138.6831093,yield_BLUE
MN09115,138.7809808,yield_BLUE
SD110304,138.7843136,yield_BLUE
p105,138.8029807,yield_BLUE
IL06-3761,138.8561986,yield_BLUE
p87,138.9530669,yield_BLUE
P021A1-66-2,139.0800012,yield_BLUE
MN09119,139.125153,yield_BLUE
P0216A1-1-45,139.1962737,yield_BLUE
p179,139.2199644,yield_BLUE
p213,139.2958074,yield_BLUE
p196,139.3266354,yield_BLUE
p171,139.3645483,yield_BLUE
CLINTFORD,139.4012161,yield_BLUE
p120,139.4809051,yield_BLUE
P075A1-7,139.560594,yield_BLUE
SD100015,139.5692498,yield_BLUE
p229,139.7777586,yield_BLUE
p154,139.8133879,yield_BLUE
p2,139.8138395,yield_BLUE
MN08138,139.8139079,yield_BLUE
p93,140.3547525,yield_BLUE
SABER,140.4550007,yield_BLUE
p54,140.6018332,yield_BLUE
OA1341-1,140.7049209,yield_BLUE
SD100719,140.7191658,yield_BLUE
MORTON,140.7201699,yield_BLUE
WIX9897-5,140.7849861,yield_BLUE
SD111736,140.8718361,yield_BLUE
p71,140.9528735,yield_BLUE
IL09-5508,141.0523192,yield_BLUE
p76,141.052532,yield_BLUE
p131,141.2180449,yield_BLUE
SD120296,141.496901,yield_BLUE
p214,141.6012138,yield_BLUE
p31,141.6121275,yield_BLUE
P021A1-25,141.6845086,yield_BLUE
p174,141.6900485,yield_BLUE
p148,141.7159086,yield_BLUE
p4,141.7641395,yield_BLUE
p133,141.7780153,yield_BLUE
p116,141.8094688,yield_BLUE
p182,141.8767619,yield_BLUE
ND021052,142.0014818,yield_BLUE
p127,142.049847,yield_BLUE
LAO-1012-040,142.0520874,yield_BLUE
SD110765,142.1682251,yield_BLUE
p250,142.3181665,yield_BLUE
MN02231,142.3201897,yield_BLUE
p77,142.3307595,yield_BLUE
p89,142.3462316,yield_BLUE
p177,142.3699318,yield_BLUE
p235,142.5593807,yield_BLUE
p86,142.5994368,yield_BLUE
p47,142.6154548,yield_BLUE
IA01005-2,142.7203147,yield_BLUE
p25,142.78944,yield_BLUE
p169,142.8823343,yield_BLUE
p157,142.9376764,yield_BLUE
p233,142.9872447,yield_BLUE
ND111357,142.9961337,yield_BLUE
MN05157,143.0058545,yield_BLUE
OA1256-1,143.0469239,yield_BLUE
P021A1-25-53,143.055355,yield_BLUE
p220,143.0836745,yield_BLUE
p227,143.0878774,yield_BLUE
p73,143.0912191,yield_BLUE
p58,143.1998802,yield_BLUE
p45,143.3241351,yield_BLUE
SD111931,143.4625451,yield_BLUE
MN09230,143.5306129,yield_BLUE
SD120640,143.5755617,yield_BLUE
p59,143.6269218,yield_BLUE
p226,143.6576081,yield_BLUE
SD090882,143.8289102,yield_BLUE
NATTY,143.8511972,yield_BLUE
ND021612,143.8642024,yield_BLUE
p119,143.9244623,yield_BLUE
p230,143.9356796,yield_BLUE
ND102000,144.0218732,yield_BLUE
IL00-1030,144.1982367,yield_BLUE
p121,144.2035508,yield_BLUE
SD090965,144.341349,yield_BLUE
p197,144.4577657,yield_BLUE
IL10-9867,144.5027164,yield_BLUE
p178,144.6071101,yield_BLUE
p224,144.6779487,yield_BLUE
p202,144.6952389,yield_BLUE
P0528A1-1,144.6969877,yield_BLUE
SD111753,144.7070438,yield_BLUE
ND040196,144.7180428,yield_BLUE
p145,144.9368647,yield_BLUE
MN10130,144.9568304,yield_BLUE
OA1342-2,145.0597477,yield_BLUE
p221,145.0895733,yield_BLUE
IL09-5745,145.130119,yield_BLUE
LEGGETT,145.1870622,yield_BLUE
SD110470,145.277877,yield_BLUE
p106,145.4045781,yield_BLUE
p246,145.4422635,yield_BLUE
WIX9562-5,145.4515402,yield_BLUE
p111,145.5177765,yield_BLUE
p254,145.5468424,yield_BLUE
SD100184,145.5495116,yield_BLUE
WIX9414-1,145.6400018,yield_BLUE
p22,145.7510852,yield_BLUE
SD041445,145.7861067,yield_BLUE
MN08211,145.8441981,yield_BLUE
p192,145.8860801,yield_BLUE
ND050490,145.9763252,yield_BLUE
p255,146.0535841,yield_BLUE
P0528A1-1-1,146.0880325,yield_BLUE
SD090510,146.2175805,yield_BLUE
WIX10045-12,146.2506269,yield_BLUE
p82,146.2545249,yield_BLUE
IL09-2838,146.2898073,yield_BLUE
p256,146.3293496,yield_BLUE
MN05237,146.3631842,yield_BLUE
MN08260,146.4178928,yield_BLUE
p223,146.4361608,yield_BLUE
p84,146.4546179,yield_BLUE
p144,146.4579866,yield_BLUE
p183,146.5438693,yield_BLUE
p195,146.551137,yield_BLUE
SD081644,146.5928917,yield_BLUE
SD090240,146.6942039,yield_BLUE
p85,146.7414653,yield_BLUE
WIX8787-2,146.8335944,yield_BLUE
p129,146.9500356,yield_BLUE
SD030888,146.9539213,yield_BLUE
p237,146.9981317,yield_BLUE
MN06120,147.0591715,yield_BLUE
MN08243,147.0650377,yield_BLUE
p198,147.0858433,yield_BLUE
p153,147.1275943,yield_BLUE
IA02010-2-1,147.1534147,yield_BLUE
p173,147.2592807,yield_BLUE
IA02130-2-3,147.440645,yield_BLUE
p114,147.5202833,yield_BLUE
P0216A1-1,147.5297115,yield_BLUE
p42,147.5367953,yield_BLUE
p28,147.8795283,yield_BLUE
p228,147.9020429,yield_BLUE
p168,148.023487,yield_BLUE
p104,148.0246699,yield_BLUE
p161,148.078771,yield_BLUE
p130,148.0840026,yield_BLUE
p203,148.0893564,yield_BLUE
ND060182,148.1953614,yield_BLUE
MN04232,148.2700599,yield_BLUE
p21,148.284527,yield_BLUE
SD110605,148.2883306,yield_BLUE
p33,148.3359023,yield_BLUE
p163,148.4058179,yield_BLUE
SD041451,148.418733,yield_BLUE
BETAGENE,148.5060404,yield_BLUE
SD081563,148.727687,yield_BLUE
p243,148.7460858,yield_BLUE
p251,148.7999697,yield_BLUE
P0714A1-29-2,149.0058854,yield_BLUE
p218,149.0476024,yield_BLUE
ND040250,149.0617426,yield_BLUE
p231,149.1811664,yield_BLUE
p167,149.1944885,yield_BLUE
p83,149.26967,yield_BLUE
SD081577,149.3675177,yield_BLUE
p112,149.3793786,yield_BLUE
p238,149.3869828,yield_BLUE
p236,149.4133046,yield_BLUE
p158,149.4217546,yield_BLUE
WIX10045-9,149.5084297,yield_BLUE
SD081949,149.5865052,yield_BLUE
p244,149.6928428,yield_BLUE
p162,149.7574359,yield_BLUE
p99,149.7652146,yield_BLUE
ND060342,149.7706783,yield_BLUE
P0541A1-1,149.8215737,yield_BLUE
MN09256,149.8572049,yield_BLUE
ND100362,149.8781979,yield_BLUE
p151,150.1212694,yield_BLUE
p12,150.1645198,yield_BLUE
SD100454,150.1794005,yield_BLUE
AC_ASSINIBOIA,150.1956585,yield_BLUE
p152,150.2553206,yield_BLUE
p109,150.294481,yield_BLUE
p34,150.3017546,yield_BLUE
SD120266,150.4346246,yield_BLUE
MN07208,150.4484515,yield_BLUE
p232,150.4809131,yield_BLUE
p200,150.4960174,yield_BLUE
p204,150.4985428,yield_BLUE
p170,150.5734472,yield_BLUE
MN04242,150.5734493,yield_BLUE
SD050945,150.7259666,yield_BLUE
WIX8787-3,150.7663449,yield_BLUE
AAC_OAKLIN,150.9197739,yield_BLUE
p128,151.0256458,yield_BLUE
p184,151.0371214,yield_BLUE
p108,151.0756085,yield_BLUE
p207,151.1236227,yield_BLUE
IL07-8721,151.1242951,yield_BLUE
WIX9528-1,151.2202644,yield_BLUE
p75,151.5430572,yield_BLUE
p187,151.5432711,yield_BLUE
p199,151.5520788,yield_BLUE
p13,151.5798672,yield_BLUE
p9,151.6359314,yield_BLUE
MN08252,151.6549,yield_BLUE
p166,151.7065265,yield_BLUE
MN11221,151.7086626,yield_BLUE
p160,151.7178166,yield_BLUE
SD041405,151.7178732,yield_BLUE
p74,151.8567585,yield_BLUE
p44,151.9280761,yield_BLUE
MN02234,151.9349988,yield_BLUE
p90,151.9958396,yield_BLUE
p81,152.0263428,yield_BLUE
HORSEPOWER,152.1382789,yield_BLUE
ND101473,152.2830165,yield_BLUE
OT2074,152.3994684,yield_BLUE
p78,152.4197813,yield_BLUE
SD050616,152.5252542,yield_BLUE
p11,152.6147071,yield_BLUE
p96,152.6409906,yield_BLUE
MN08160,152.6951419,yield_BLUE
NEWBURG,152.7178567,yield_BLUE
p240,152.7829885,yield_BLUE
MN05205,153.1516875,yield_BLUE
p164,153.1953721,yield_BLUE
SD101027,153.2770975,yield_BLUE
p208,153.2954726,yield_BLUE
p206,153.3035679,yield_BLUE
MN11211,153.530851,yield_BLUE
p101,153.6463906,yield_BLUE
IL05-9931,153.8904273,yield_BLUE
p5,153.9085191,yield_BLUE
p39,154.0133001,yield_BLUE
SD111922,154.0296265,yield_BLUE
p110,154.1015823,yield_BLUE
p8,154.1374409,yield_BLUE
ND090868,154.1842543,yield_BLUE
p36,154.406384,yield_BLUE
AAC_ROSKENS,154.4174082,yield_BLUE
SD090880,154.5334226,yield_BLUE
SD041445-93,154.6678091,yield_BLUE
p10,154.7992274,yield_BLUE
MN11139,154.9162578,yield_BLUE
p100,155.1317173,yield_BLUE
WIX9645-1,155.151969,yield_BLUE
ND030349,155.1691732,yield_BLUE
OA1271-3,155.342053,yield_BLUE
MN10121,155.3722092,yield_BLUE
SD100602,155.3865764,yield_BLUE
p1,155.421705,yield_BLUE
p193,155.44012,yield_BLUE
p159,155.501614,yield_BLUE
03P26A-BV3A,155.5489679,yield_BLUE
WPAT04P03-PY3B,155.7253511,yield_BLUE
WIX9150-1,155.9161422,yield_BLUE
SD111939,155.9231404,yield_BLUE
MN06213,155.9422927,yield_BLUE
OT2083,156.0871466,yield_BLUE
MN09103,156.1621382,yield_BLUE
p241,156.1769287,yield_BLUE
SD041016,156.2881361,yield_BLUE
ND080816,156.3730073,yield_BLUE
IL04-7077,156.4474687,yield_BLUE
p239,156.7206881,yield_BLUE
WIX9287-2,156.7388345,yield_BLUE
SD090552,156.8530661,yield_BLUE
p135,156.923494,yield_BLUE
MNBT1021-1,156.9425655,yield_BLUE
p185,157.002849,yield_BLUE
ND020965,157.1278323,yield_BLUE
SD090893,157.1329159,yield_BLUE
MN10253,157.1655964,yield_BLUE
p37,157.2191476,yield_BLUE
p43,157.2720745,yield_BLUE
p136,157.4367057,yield_BLUE
OA1357-2,157.5292026,yield_BLUE
p6,157.6411842,yield_BLUE
p14,157.6842502,yield_BLUE
p141,157.7017015,yield_BLUE
p107,157.7353421,yield_BLUE
MN06203,157.780391,yield_BLUE
p245,157.8507476,yield_BLUE
MNBT1020-1,157.9308458,yield_BLUE
ND090709,158.0294183,yield_BLUE
p41,158.0526456,yield_BLUE
SD100644,158.0547997,yield_BLUE
p242,158.1020417,yield_BLUE
SD081038,158.1387832,yield_BLUE
p165,158.1542109,yield_BLUE
LAO-1104-028C1,158.1904514,yield_BLUE
MN10209,158.2029039,yield_BLUE
IL09-6937,158.583398,yield_BLUE
p102,158.7213225,yield_BLUE
SD120456,158.8010077,yield_BLUE
p113,158.9666236,yield_BLUE
MN09105,159.1202302,yield_BLUE
p98,159.1477767,yield_BLUE
MN09255,159.7412499,yield_BLUE
SD111946,159.7783547,yield_BLUE
04P07A-BS5C,159.854435,yield_BLUE
p140,159.9785649,yield_BLUE
WIX10088-6,160.2126472,yield_BLUE
OA1253-1,160.366129,yield_BLUE
MN05119,160.4297787,yield_BLUE
ND051306,160.5849311,yield_BLUE
p134,160.8111483,yield_BLUE
p143,161.1747083,yield_BLUE
p79,161.398728,yield_BLUE
p186,161.4437002,yield_BLUE
SD090248,161.5089607,yield_BLUE
p35,161.5898754,yield_BLUE
p103,161.6879686,yield_BLUE
ND051312,161.889093,yield_BLUE
p7,161.9322496,yield_BLUE
p194,162.0239657,yield_BLUE
SD100198,162.1744569,yield_BLUE
AAC_ALMONTE,162.2858475,yield_BLUE
DEON,162.3373696,yield_BLUE
HAYDEN,162.40587,yield_BLUE
HA08-03X15-1,162.839538,yield_BLUE
WIX9487-1,163.0712158,yield_BLUE
p252,163.4099943,yield_BLUE
SD081107,163.515839,yield_BLUE
p205,163.6461985,yield_BLUE
MN07204,164.2387776,yield_BLUE
p40,164.3123164,yield_BLUE
01G04-CC3E,164.4081618,yield_BLUE
SD080348,164.5811455,yield_BLUE
p80,164.6279213,yield_BLUE
MN09223,164.7442689,yield_BLUE
MN07104,165.017065,yield_BLUE
ND011054,165.4033039,yield_BLUE
RON,165.7061544,yield_BLUE
p253,165.8894974,yield_BLUE
p142,166.0040966,yield_BLUE
OA1331-6,166.522871,yield_BLUE
p139,166.7883854,yield_BLUE
p97,167.4706996,yield_BLUE
WIX9878-3,168.0277818,yield_BLUE
SD041445-119,168.2195913,yield_BLUE
p38,168.2464235,yield_BLUE
p29,168.6544434,yield_BLUE
OPTIMUM,168.8787581,yield_BLUE
00P28-AN01B1,169.1686089,yield_BLUE
04P07B-GN1C,172.1537581,yield_BLUE
ND070182,172.6555516,yield_BLUE
HA07-02X22-3,173.653309,yield_BLUE
p30,174.0065521,yield_BLUE
WIX8787-4,176.0536436,yield_BLUE
AAC_NICOLAS,183.4375705,yield_BLUE
WIX10055-8,187.800457,yield_BLUE
95AB12770,91.41688409,height_BLUE
CIAV5218,103.0484,height_BLUE
CLINTLAND_64,101.967199,height_BLUE
